137,1.53,0.73,1.05
139,1.99,0.94,1.06
Az: 226.67,61.17
141,2.10,1.01,1.04
143,1.56,0.76,1.03
145,1.44,0.68,1.05
147,1.26,0.60,1.06
149,1.69,0.79,1.07
Az: 226.73,61.15
151,2.16,1.02,1.06
153,1.75,0.85,1.04
155,1.67,0.81,1.04
157,1.70,0.82,1.04
159,2.03,0.97,1.05
Az: 226.80,61.13
161,1.72,0.82,1.05
163,1.52,0.72,1.06
165,1.69,0.82,1.04
167,1.71,0.81,1.05
169,0.81,0.39,1.03
Az: 226.86,61.11
171,0.88,0.43,1.03
173,0.87,0.42,1.03
175,0.87,0.42,1.03
177,0.86,0.42,1.02
179,0.86,0.42,1.04
Az: 226.93,61.09
181,0.86,0.42,1.03
183,0.86,0.42,1.03
185,0.86,0.42,1.03
187,0.85,0.42,1.02
189,0.85,0.42,1.02
Az: 227.00,61.07
191,0.85,0.41,1.04
193,0.85,0.41,1.03
196,0.85,0.41,1.03
198,0.85,0.41,1.03
200,0.84,0.41,1.04
Az: 227.06,61.04
202,0.84,0.41,1.02
204,0.84,0.41,1.02
206,0.84,0.41,1.02
208,0.84,0.41,1.03
210,0.84,0.41,1.03
Az: 227.13,61.02
212,0.84,0.41,1.03
214,0.84,0.41,1.03
216,0.84,0.41,1.03
218,0.84,0.41,1.03
220,0.84,0.41,1.03
Az: 227.19,61.00
222,0.84,0.41,1.03
224,0.84,0.41,1.03
226,0.84,0.41,1.03
228,0.84,0.41,1.03
230,0.84,0.41,1.03
Az: 227.26,60.98
232,0.84,0.41,1.02
234,0.84,0.41,1.03
236,0.84,0.41,1.04
238,0.84,0.41,1.03
240,0.84,0.41,1.02
Az: 227.32,60.96
242,0.84,0.41,1.02
244,0.84,0.41,1.04
246,0.84,0.41,1.04
248,0.85,0.41,1.03
250,0.84,0.41,1.02
Az: 227.39,60.94
252,0.84,0.41,1.02
254,0.84,0.41,1.02
256,0.85,0.41,1.03
258,0.85,0.41,1.03
261,0.85,0.42,1.02
Az: 227.45,60.92
263,0.85,0.42,1.02
265,0.85,0.42,1.02
267,0.86,0.42,1.03
269,0.86,0.42,1.03
271,0.86,0.42,1.03
Az: 227.52,60.90
273,0.86,0.42,1.02
275,0.86,0.42,1.04
277,0.86,0.42,1.02
279,0.87,0.42,1.03
Az: 227.58,60.87
281,0.87,0.42,1.03
283,0.87,0.43,1.02
285,0.87,0.42,1.04
287,0.87,0.43,1.02
289,0.88,0.43,1.04
Az: 227.65,60.85
291,0.88,0.43,1.03
293,0.89,0.43,1.03
295,0.90,0.44,1.02
297,0.95,0.46,1.03
299,0.89,0.43,1.04
Az: 227.71,60.83
301,0.89,0.43,1.04
303,0.82,0.39,1.05
305,0.90,0.43,1.04
307,1.07,0.52,1.03
309,1.14,0.56,1.03
Az: 227.78,60.81
311,1.07,0.51,1.05
313,1.59,0.75,1.07
315,1.68,0.79,1.06
317,1.19,2.57,0.23
319,0.90,5.00,0.09
Az: 227.84,60.79
321,0.00,0.36,0.00
323,0.00,0.34,0.00
325,0.00,0.41,0.00
328,0.00,0.55,0.00
330,0.00,0.68,0.00
Az: 227.91,60.77
332,0.00,0.56,0.00
334,0.94,0.37,1.29
336,0.80,0.38,1.04
338,0.97,0.47,1.03
340,1.09,0.53,1.03
Az: 227.97,60.74
342,1.55,0.76,1.02
344,1.62,0.80,1.02
346,1.47,0.72,1.02
348,1.49,0.73,1.02
350,1.15,0.55,1.04
Az: 228.04,60.72
352,1.16,0.56,1.04
354,1.00,0.47,1.05
356,1.00,0.48,1.03
358,0.81,0.39,1.04
360,0.85,0.41,1.05
Az: 228.10,60.70
362,1.07,0.52,1.02
364,1.12,0.55,1.02
366,1.25,0.61,1.03
368,1.36,0.67,1.02
370,1.48,0.73,1.01
Az: 228.17,60.68
372,0.62,0.30,1.02
374,0.61,0.30,1.01
376,0.62,0.31,1.01
378,0.63,0.31,1.02
